clean_text,vader_sentiment,roberta_sentiment,human_sentiment
apple people cool phones i get it but such a weird cult i honestly couldnt give 2 shts about the apple ecosystem i definitely dont need a watch to make phone calls the phone isnt broken im not a social media addict so i dont need 125 apps on it if i dont have my phone with me and i often dont its because i dont want to talk to you not via call text insta snap fb or any other platform if youre geeking out over apple watchs native ecosystem integration you are almost 100 not the person the garmins are for anyway you just need a fitbit so you can count your galleria mall and grocery store steps or maybe you can just altogether stop pretending youre an active lifestyle person in the yt comments no one believes you anyway but buy whatever you like and enjoy the fact that there are choices i went with the garmin life is good,Positive,negative,negative
best samsung galaxy s 23 ultra is the s 23 ultra wait what no best ios phone is the s 23 ultra,Positive,positive,positive 
please throw that phone xiaomi,Positive,negative,negative
s23 ultra is also best value when you take advantage of samsungs trade in deals and freebies,Positive,positive,positive 
was it only me who thought it was a real video until half way through,Neutral,neutral,neutral 
i started screaming when u said vivo they deserve it this time after so many years of innovation,Neutral,positive,neutral 
this video is sponsored by samsung,Neutral,neutral,neutral 
just get the xm4s,Neutral,neutral,neutral 
would they be cool for a dude who sweats alot,Positive,neutral,neutral 
yoo i just started my dinner noiceeeee,Neutral,positive,positive 
the samsung s23 ultra award,Positive,positive,neutral 
he put it besides the oneplus,Neutral,neutral,neutral 
how can i sell my kidneys and my family kidney i want that phone,Positive,neutral,neutral 
i always thought i had the xm5s never looked into it but ive had them forever i found out a year ago that they are the xm3s maybe i should upgrade lol,Positive,neutral,positive 
air edge are great phones for the majority of people in their 40s and 50s they dont have a lot of work that depends on the phone because they have laptops both at home and at the workplace they need a good enough camera slim to use so they dont feel like they are carrying a brick and for battery life charging in the car office desk works wonders their whole screen on time is less than 23 hours,Positive,positive,positive 
421 thought we wouldnt notice,Neutral,neutral,neutral 
150 comments in 5 mins rip to this comment being seen,Neutral,negative,negative
im still using an iphone 8,Neutral,neutral,neutral 
